DATE,region_location,content_ID,actor,QA,Rep_label1,QA_label1,Level_1,Rep_label2,QA_label2,Level_2,Rep_label3,QA_label3,Level_3,Rep_label4,QA_label4,Level_4
1/24/20,region 2,1120312,actor 2,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/24/20,region 2,1786341,actor 2,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/24/20,region 2,1856950,actor 2,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/24/20,region 2,2702587,actor 3,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/24/20,region 2,1014267,actor 10,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_2,shade_1,F
1/24/20,region 1,2435120,actor 1,auditor 2,blue,yellow,F,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_1,T
1/24/20,region 1,1684370,actor 2,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/24/20,region 1,2806291,actor 3,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_3,shade_1,F
1/24/20,region 2,1991282,actor 8,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/24/20,region 2,2504393,actor 9,auditor 2,blue,red,F,is_color,is_color,T,primary_color,primary_color,T,shade_2,shade_1,F
1/24/20,region 1,2459545,actor 10,auditor 2,blue,blue,T,is_color,is_color,T,complementary_color,primary_color,F,shade_4,shade_3,F
1/24/20,region 1,2782067,actor 10,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_2,shade_1,F
1/24/20,region 2,1744068,actor 2,auditor 4,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/24/20,region 2,1606863,actor 3,auditor 4,blue,yellow,F,is_color,is_color,T,primary_color,primary_color,T,shade_5,shade_5,T
1/24/20,region 2,1725205,actor 3,auditor 4,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_6,shade_2,F
1/24/20,region 2,2319537,actor 6,auditor 4,red,red,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/24/20,region 2,2862907,actor 6,auditor 4,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_2,shade_6,F
1/24/20,region 1,1359728,actor 8,auditor 4,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_3,shade_1,F
1/24/20,region 2,2546780,actor 8,auditor 4,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_8,shade_1,F
1/24/20,region 2,1855727,actor 9,auditor 4,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/24/20,region 2,2759256,actor 9,auditor 4,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_3,shade_1,F
1/24/20,region 2,2633165,actor 9,auditor 4,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/24/20,region 1,2012531,actor 10,auditor 4,blue,blue,T,is_color,is_color,T,complementary_color,primary_color,F,shade_9,shade_1,F
1/24/20,region 2,1611323,actor 10,auditor 4,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_2,shade_1,F
1/24/20,region 2,2581518,actor 10,auditor 4,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_3,shade_1,F
1/24/20,region 2,1746478,actor 10,auditor 4,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_2,shade_1,F
1/24/20,region 2,1274694,actor 10,auditor 4,blue,blue,T,is_color,is_color,T,complementary_color,primary_color,F,shade_10,shade_1,F
1/24/20,region 2,2871725,actor 10,auditor 4,red,red,T,is_color,is_color,T,primary_color,primary_color,T,shade_3,shade_1,F
1/24/20,region 2,2859598,actor 10,auditor 4,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_3,shade_1,F
1/27/20,region 2,2498240,actor 1,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,complementary_color,F,shade_8,shade_9,F
1/27/20,region 2,1562863,actor 1,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_3,F
1/27/20,region 2,1861549,actor 1,auditor 1,blue,green,F,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_1,T
1/27/20,region 1,1937352,actor 1,auditor 2,blue,yellow,F,is_color,is_color,T,primary_color,primary_color,T,shade_3,shade_1,F
1/27/20,region 2,1295196,actor 1,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_3,F
1/27/20,region 2,2059396,actor 1,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/27/20,region 2,1256706,actor 1,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/27/20,region 1,2841123,actor 7,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_3,shade_1,F
1/27/20,region 2,1382588,actor 9,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/28/20,region 1,2636206,actor 1,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_3,F
1/28/20,region 1,2269729,actor 2,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/28/20,region 1,1312118,actor 2,auditor 1,red,green,F,is_color,is_color,T,primary_color,grey_scale,F,shade_3,,T
1/28/20,region 1,2095656,actor 3,auditor 1,blue,blue,T,is_color,is_color,T,complementary_color,primary_color,F,shade_4,shade_1,F
1/28/20,region 1,1691227,actor 5,auditor 1,red,red,T,is_color,is_color,T,primary_color,off_color,F,shade_3,shade_11,F
1/28/20,region 1,2317881,actor 5,auditor 1,red,yellow,F,is_color,is_color,T,primary_color,grey_scale,F,shade_3,,T
1/28/20,region 1,1469506,actor 6,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_3,shade_1,F
1/28/20,region 1,1467385,actor 7,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/28/20,region 2,1324002,actor 7,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/28/20,region 2,2645107,actor 7,auditor 1,red,red,T,is_color,is_color,T,primary_color,grey_scale,F,shade_1,,T
1/28/20,region 2,2386983,actor 7,auditor 1,blue,yellow,F,is_color,is_color,T,primary_color,complementary_color,F,shade_2,shade_13,F
1/28/20,region 2,2934421,actor 7,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_2,shade_1,F
1/28/20,region 2,2479659,actor 7,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_3,F
1/28/20,region 2,1786438,actor 7,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_2,shade_1,F
1/28/20,region 2,1366498,actor 7,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_2,shade_1,F
1/28/20,region 2,2927196,actor 7,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_2,shade_1,F
1/28/20,region 1,2613915,actor 8,auditor 1,blue,yellow,F,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_1,T
1/28/20,region 1,1060426,actor 5,auditor 2,red,yellow,F,is_color,is_color,T,primary_color,grey_scale,F,shade_1,,T
1/28/20,region 2,2223956,actor 6,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_6,F
1/28/20,region 2,2900549,actor 6,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/28/20,region 2,2829245,actor 6,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/28/20,region 2,1009929,actor 7,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_2,shade_1,F
1/28/20,region 1,2641625,actor 10,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_3,shade_1,F
1/28/20,region 2,1118123,actor 1,auditor 3,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_6,F
1/28/20,region 2,2999789,actor 1,auditor 3,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_2,shade_1,F
1/28/20,region 2,1842392,actor 2,auditor 3,blue,blue,T,is_color,is_color,T,complementary_color,primary_color,F,shade_4,shade_1,F
1/28/20,region 2,1296791,actor 2,auditor 3,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/28/20,region 2,2489468,actor 4,auditor 3,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/28/20,region 2,2123826,actor 8,auditor 3,red,red,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_3,F
1/28/20,region 2,2244733,actor 8,auditor 3,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_3,shade_1,F
1/29/20,region 1,2787662,actor 1,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_3,F
1/29/20,region 1,2890983,actor 1,auditor 1,blue,blue,T,is_color,is_color,T,complementary_color,primary_color,F,shade_4,shade_1,F
1/29/20,region 2,2318634,actor 1,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_2,shade_6,F
1/29/20,region 2,2059383,actor 2,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/29/20,region 2,1534993,actor 2,auditor 1,blue,yellow,F,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_1,T
1/29/20,region 2,2389385,actor 3,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_6,shade_2,F
1/29/20,region 2,2934076,actor 3,auditor 1,blue,yellow,F,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_1,T
1/29/20,region 2,2655815,actor 3,auditor 1,blue,blue,T,is_color,is_color,T,complementary_color,primary_color,F,shade_9,shade_2,F
1/29/20,region 1,2158423,actor 4,auditor 1,red,red,T,is_color,is_color,T,"""label_notrendering""",primary_color,F,,shade_1,T
1/29/20,region 2,2744817,actor 4,auditor 1,blue,yellow,F,is_color,is_color,T,primary_color,primary_color,T,shade_2,shade_2,T
1/29/20,region 2,2126108,actor 8,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_2,shade_6,F
1/29/20,region 2,2555719,actor 8,auditor 1,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_6,shade_2,F
1/29/20,region 1,2791750,actor 1,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_3,shade_1,F
1/29/20,region 1,2871726,actor 1,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_3,F
1/29/20,region 2,1251931,actor 1,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
1/29/20,region 2,2313319,actor 2,auditor 2,blue,blue,T,is_color,is_color,T,primary_color,primary_color,T,shade_1,shade_2,F
